"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"2","A music playback app for the Legacy of Kain: Soul Reaver soundtrack.","","","","","",""
"3","• Update WindowsAppSDK and NuGet packages.","• Aktualisieren von WindowsAppSDK und NuGet-Paketen.","","False","","",""
"4","Sound Reaver","Sound Reaver","","False","","",""
"8","A music playback app for the Legacy of Kain: Soul Reaver soundtrack.","Eine Musikwiedergabe-App für den Soundtrack von „Legacy of Kain: Soul Reaver“.","","False","","",""
"9","David Sungaila","David Sungaila","","","","",""
"12","This is a fan project. “Legacy of Kain”, “Soul Reaver“ and related trademarks are the property of Crystal Dynamics and Embracer Group.","Dies ist ein Fanprojekt. „Legacy of Kain“, „Soul Reaver“ und zugehörige Marken sind Eigentum von Crystal Dynamics und der Embracer Group.","","False","","",""
"150","Playback of the spectral soundtrack variant.","Wiedergabe der spektralen Soundtrack-Variante.","","False","","",""
"151","Playback of the material soundtrack variant.","Wiedergabe der materiellen Soundtrack-Variante.","","False","","",""
"900","Legacy of Kain: Soul Reaver","Legacy of Kain: Soul Reaver","","False","","",""
"901","Music playback app","Musikwiedergabe-App","","False","","",""
"902","Soundtrack","Soundtrack","","False","","",""
"903","Soul Reaver","Soul Reaver","","False","","",""
"1020","Play your favorite tracks from Legacy of Kain: Soul Reaver and switch between the spectral and material variants on the fly!","Spiele deine Lieblingstitel aus „Legacy of Kain: Soul Reaver“ ab und wechsle jederzeit zwischen der spektralen und der materiellen Variante!","","False","","",""
