"﻿location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","A music playback app for the Legacy of Kain: Soul Reaver soundtrack.","","","False","","",""
"","• Add a german translation.
• Update WindowsAppSDK and NuGet packages.","","","False","","",""
"","Sound Reaver","","","False","","",""
"","A music playback app for the Legacy of Kain: Soul Reaver soundtrack.","","","False","","",""
"","David Sungaila","","","False","","",""
"","This is a fan project. “Legacy of Kain”, “Soul Reaver“ and related trademarks are the property of Crystal Dynamics and Embracer Group.","","","False","","",""
"","Playback of the spectral soundtrack variant.","","","False","","",""
"","Playback of the material soundtrack variant.","","","False","","",""
"","Legacy of Kain: Soul Reaver","","","False","","",""
"","Music playback app","","","False","","",""
"","Soundtrack","","","False","","",""
"","Soul Reaver","","","False","","",""
"","Play your favorite tracks from Legacy of Kain: Soul Reaver and switch between the spectral and material variants on the fly!","","","False","","",""
